198	2.00	2.56	0	0
199	2.00	2.20	0	0
200	2.00	1.84	0	0
201	2.00	1.48	0	0
202	2.00	1.12	0	0
203	2.00	0.76	0	0
204	1.50	3.63	0	0
205	1.50	3.26	0	0
206	1.50	2.89	0	0
207	1.50	2.52	0	0
208	1.50	2.15	0	0
209	1.50	1.78	0	0
210	1.50	1.41	0	0
211	1.50	1.04	0	0
212	1.50	0.67	0	0
213	1.00	3.62	0	0
214	1.00	3.24	0	0
215	1.00	2.86	0	0
216	1.00	2.48	0	0
217	1.00	2.10	0	0
218	1.00	1.72	0	0
219	1.00	1.34	0	0
220	1.00	0.96	0	0
221	1.00	0.58	0	0
222	0.50	3.61	0	0
223	0.50	3.22	0	0
224	0.50	2.83	0	0
225	0.50	2.44	0	0
226	0.50	2.05	0	0
227	0.50	1.66	0	0
228	0.50	1.27	0	0
229	0.50	0.88	0	0
230	0.50	0.49	0	0
