0	1	1	1	32	60	31
1	1	1	31	60	61	30
2	1	1	30	61	62	29
3	1	1	29	62	63	28
4	1	1	28	63	64	27
5	1	1	27	64	65	26
6	1	1	26	65	66	25
7	1	1	25	66	67	24
8	1	1	24	67	68	23
9	1	1	23	68	22	2
10	1	1	32	33	69	60
11	1	1	60	69	70	61
12	1	1	61	70	71	62
13	1	1	62	71	72	63
14	1	1	63	72	73	64
15	1	1	64	73	74	65
16	1	1	65	74	75	66
17	1	1	66	75	76	67
18	1	1	67	76	77	68
19	1	1	68	77	21	22
20	1	1	33	34	78	69
21	1	1	69	78	79	70
22	1	1	70	79	80	71
23	1	1	71	80	81	72
24	1	1	72	81	82	73
25	1	1	73	82	83	74
26	1	1	74	83	84	75
27	1	1	75	84	85	76
28	1	1	76	85	86	77
29	1	1	77	86	20	21
30	1	1	34	35	87	78
31	1	1	78	87	88	79
32	1	1	79	88	89	80
33	1	1	80	89	90	81
34	1	1	81	90	91	82
35	1	1	82	91	92	83
36	1	1	83	92	93	84
37	1	1	84	93	94	85
38	1	1	85	94	95	86
39	1	1	86	95	19	20
40	1	1	35	36	96	87
41	1	1	87	96	97	88
42	1	1	88	97	98	89
43	1	1	89	98	99	90
44	1	1	90	99	100	91
45	1	1	91	100	101	92
46	1	1	92	101	102	93
47	1	1	93	102	103	94
48	1	1	94	103	104	95
49	1	1	95	104	18	19
50	1	1	36	37	105	96
51	1	1	96	105	106	97
52	1	1	97	106	107	98
53	1	1	98	107	108	99
54	1	1	99	108	109	100
55	1	1	100	109	110	101
56	1	1	101	110	111	102
57	1	1	102	111	112	103
58	1	1	103	112	113	104
59	1	1	104	113	17	18
60	1	1	37	38	114	105
61	1	1	105	114	115	106
62	1	1	106	115	116	107
63	1	1	107	116	117	108
64	1	1	108	117	118	109
65	1	1	109	118	119	110
66	1	1	110	119	120	111
67	1	1	111	120	121	112
68	1	1	112	121	122	113
69	1	1	113	122	16	17
70	1	1	38	39	123	114
71	1	1	114	123	124	115
72	1	1	115	124	125	116
73	1	1	116	125	126	117
74	1	1	117	126	127	118
75	1	1	118	127	128	119
76	1	1	119	128	129	120
77	1	1	120	129	130	121
78	1	1	121	130	131	122
79	1	1	122	131	15	16
80	1	1	39	40	132	123
81	1	1	123	132	133	124
82	1	1	124	133	134	125
83	1	1	125	134	135	126
84	1	1	126	135	136	127
85	1	1	127	136	137	128
86	1	1	128	137	138	129
87	1	1	129	138	139	130
88	1	1	130	139	140	131
89	1	1	131	140	14	15
90	1	1	40	41	141	132
91	1	1	132	141	142	133
92	1	1	133	142	143	134
93	1	1	134	143	144	135
94	1	1	135	144	145	136
95	1	1	136	145	146	137
96	1	1	137	146	147	138
97	1	1	138	147	148	139
98	1	1	139	148	149	140
99	1	1	140	149	13	14
100	1	1	41	42	150	141
101	1	1	141	150	151	142
102	1	1	142	151	152	143
103	1	1	143	152	153	144
104	1	1	144	153	154	145
105	1	1	145	154	155	146
106	1	1	146	155	156	147
107	1	1	147	156	157	148
108	1	1	148	157	158	149
109	1	1	149	158	12	13
110	1	1	42	43	159	150
111	1	1	150	159	160	151
112	1	1	151	160	161	152
113	1	1	152	161	162	153
114	1	1	153	162	163	154
115	1	1	154	163	164	155
116	1	1	155	164	165	156
117	1	1	156	165	166	157
118	1	1	157	166	167	158
119	1	1	158	167	11	12
120	1	1	43	44	168	159
121	1	1	159	168	169	160
122	1	1	160	169	170	161
123	1	1	161	170	171	162
124	1	1	162	171	172	163
125	1	1	163	172	173	164
126	1	1	164	173	174	165
127	1	1	165	174	175	166
128	1	1	166	175	176	167
129	1	1	167	176	10	11
130	1	1	44	45	177	168
131	1	1	168	177	178	169
132	1	1	169	178	179	170
133	1	1	170	179	180	171
134	1	1	171	180	181	172
135	1	1	172	181	182	173
136	1	1	173	182	183	174
137	1	1	174	183	184	175
138	1	1	175	184	185	176
139	1	1	176	185	9	10
140	1	1	45	46	186	177
141	1	1	177	186	187	178
142	1	1	178	187	188	179
143	1	1	179	188	189	180
144	1	1	180	189	190	181
145	1	1	181	190	191	182
146	1	1	182	191	192	183
147	1	1	183	192	193	184
148	1	1	184	193	194	185
149	1	1	185	194	8	9
150	1	1	46	47	195	186
151	1	1	186	195	196	187
152	1	1	187	196	197	188
153	1	1	188	197	198	189
154	1	1	189	198	199	190
155	1	1	190	199	200	191
156	1	1	191	200	201	192
157	1	1	192	201	202	193
158	1	1	193	202	203	194
159	1	1	194	203	7	8
160	1	1	47	48	204	195
161	1	1	195	204	205	196
162	1	1	196	205	206	197
163	1	1	197	206	207	198
164	1	1	198	207	208	199
165	1	1	199	208	209	200
166	1	1	200	209	210	201
167	1	1	201	210	211	202
168	1	1	202	211	212	203
169	1	1	203	212	6	7
170	1	1	48	49	213	204
171	1	1	204	213	214	205
172	1	1	205	214	215	206
173	1	1	206	215	216	207
174	1	1	207	216	217	208
175	1	1	208	217	218	209
176	1	1	209	218	219	210
177	1	1	210	219	220	211
178	1	1	211	220	221	212
179	1	1	212	221	5	6
180	1	1	49	50	222	213
181	1	1	213	222	223	214
182	1	1	214	223	224	215
183	1	1	215	224	225	216
184	1	1	216	225	226	217
185	1	1	217	226	227	218
186	1	1	218	227	228	219
187	1	1	219	228	229	220
188	1	1	220	229	230	221
189	1	1	221	230	4	5
190	1	1	50	3	51	222
191	1	1	222	51	52	223
192	1	1	223	52	53	224
193	1	1	224	53	54	225
194	1	1	225	54	55	226
195	1	1	226	55	56	227
196	1	1	227	56	57	228
197	1	1	228	57	58	229
198	1	1	229	58	59	230
199	1	1	230	59	0	4
